Line 505 | Var: N/A | Function: Global/File (Composable=False) | Content: mutableStateOf(list)
Line 1465 | Var: tripleDotScreen | Function: HomeScreen (Composable=True) | Content: var tripleDotScreen by remember { mutableStateOf(TripleDotScreen.MAIN) }
Line 1466 | Var: showEditNameDialog | Function: HomeScreen (Composable=True) | Content: var showEditNameDialog by remember { mutableStateOf(false) }
Line 1467 | Var: notificationInterval | Function: HomeScreen (Composable=True) | Content: var notificationInterval by remember { mutableStateOf("off") }
Line 1468 | Var: userPin | Function: HomeScreen (Composable=True) | Content: var userPin by remember { mutableStateOf("4A2D8B") }
Line 1471 | Var: activeVlogPal | Function: HomeScreen (Composable=True) | Content: var activeVlogPal by remember(currentUserId) { mutableStateOf<PalItem?>(null) }
Line 1472 | Var: isStateRestoredRef | Function: HomeScreen (Composable=True) | Content: val isStateRestoredRef = remember(currentUserId) { mutableStateOf(false) }
Line 1473 | Var: showingCapturedPreview | Function: HomeScreen (Composable=True) | Content: var showingCapturedPreview by remember(currentUserId) { mutableStateOf(false) }
Line 1474 | Var: capturedVideoPath | Function: HomeScreen (Composable=True) | Content: var capturedVideoPath by remember(currentUserId) { mutableStateOf<String?>(null) }
Line 1475 | Var: capturedVideoDuration | Function: HomeScreen (Composable=True) | Content: var capturedVideoDuration by remember(currentUserId) { mutableStateOf(2000L) }
Line 1476 | Var: capturedCaptionText | Function: HomeScreen (Composable=True) | Content: var capturedCaptionText by remember(currentUserId) { mutableStateOf("") }
Line 1477 | Var: capturedVideoTimeText | Function: HomeScreen (Composable=True) | Content: var capturedVideoTimeText by remember(currentUserId) { mutableStateOf("") }
Line 1478 | Var: isMuted | Function: HomeScreen (Composable=True) | Content: var isMuted by remember { mutableStateOf(false) }
Line 1479 | Var: initialSyncCompleted | Function: HomeScreen (Composable=True) | Content: var initialSyncCompleted by remember { mutableStateOf(false) }
Line 1490 | Var: filteredPathsList | Function: HomeScreen (Composable=True) | Content: mutableStateOf(ArrayList(filteredPathsList))
Line 1499 | Var: filteredTimesList | Function: HomeScreen (Composable=True) | Content: mutableStateOf(ArrayList(filteredTimesList))
Line 1508 | Var: filteredCaptionsList | Function: HomeScreen (Composable=True) | Content: mutableStateOf(ArrayList(filteredCaptionsList))
Line 1517 | Var: filteredDurationsList | Function: HomeScreen (Composable=True) | Content: mutableStateOf(ArrayList(filteredDurationsList))
Line 1519 | Var: currentPlayingIndex | Function: HomeScreen (Composable=True) | Content: var currentPlayingIndex by remember { mutableStateOf(0) }
Line 1520 | Var: vlogPlaybackProgress | Function: HomeScreen (Composable=True) | Content: var vlogPlaybackProgress by remember { mutableStateOf(0f) }
Line 1521 | Var: showVlogDropdownMenu | Function: HomeScreen (Composable=True) | Content: var showVlogDropdownMenu by remember { mutableStateOf(false) }
Line 1522 | Var: showVlogChatScreen | Function: HomeScreen (Composable=True) | Content: var showVlogChatScreen by remember { mutableStateOf(false) }
Line 1523 | Var: showEditPalFlow | Function: HomeScreen (Composable=True) | Content: var showEditPalFlow by remember { mutableStateOf(false) }
Line 1524 | Var: showDeletePalDialog | Function: HomeScreen (Composable=True) | Content: var showDeletePalDialog by remember { mutableStateOf(false) }
Line 1525 | Var: showLeavePalDialog | Function: HomeScreen (Composable=True) | Content: var showLeavePalDialog by remember { mutableStateOf(false) }
Line 1526 | Var: showVlogExportDialog | Function: HomeScreen (Composable=True) | Content: var showVlogExportDialog by remember { mutableStateOf(false) }
Line 1535 | Var: selectedDayOffset | Function: HomeScreen (Composable=True) | Content: var selectedDayOffset by remember { mutableStateOf(0) }
Line 1537 | Var: activeHourSubmissions | Function: HomeScreen (Composable=True) | Content: var activeHourSubmissions by remember { mutableStateOf<Map<String, SubmissionDbItem>>(emptyMap()) }
Line 1538 | Var: dailyHourHistoryMap | Function: HomeScreen (Composable=True) | Content: var dailyHourHistoryMap by remember { mutableStateOf<Map<Int, List<SubmissionDbItem>>>(emptyMap()) }
Line 1539 | Var: exportMenuDataState | Function: HomeScreen (Composable=True) | Content: var exportMenuDataState by remember { mutableStateOf<Map<Int, List<SubmissionDbItem>>>(emptyMap()) }
Line 1540 | Var: activeGroupMembersList | Function: HomeScreen (Composable=True) | Content: var activeGroupMembersList by remember { mutableStateOf<List<UserItem>>(emptyList()) }
Line 1587 | Var: activeReplyPreviewPath | Function: HomeScreen (Composable=True) | Content: var activeReplyPreviewPath by remember { mutableStateOf<String?>(null) }
Line 1588 | Var: activeReactionPreview | Function: HomeScreen (Composable=True) | Content: var activeReactionPreview by remember { mutableStateOf<Pair<String, String>?>(null) }
Line 1820 | Var: lastPhysicalIsRotated | Function: HomeScreen (Composable=True) | Content: var lastPhysicalIsRotated by remember { mutableStateOf<Boolean?>(null) }
Line 1896 | Var: isRefreshing | Function: HomeScreen (Composable=True) | Content: var isRefreshing by remember { mutableStateOf(false) }
Line 2563 | Var: isCapturingPal | Function: HomeScreen (Composable=True) | Content: var isCapturingPal by remember { mutableStateOf(false) }
Line 2564 | Var: capturingProgress | Function: HomeScreen (Composable=True) | Content: var capturingProgress by remember { mutableStateOf(0.0f) }
Line 2565 | Var: vlogMenuExpandedMembers | Function: HomeScreen (Composable=True) | Content: var vlogMenuExpandedMembers by remember { mutableStateOf(false) }
Line 2566 | Var: vlogMenuExpandedSettings | Function: HomeScreen (Composable=True) | Content: var vlogMenuExpandedSettings by remember { mutableStateOf(false) }
Line 2567 | Var: editPalName | Function: HomeScreen (Composable=True) | Content: var editPalName by remember { mutableStateOf("") }
Line 2568 | Var: editPalSize | Function: HomeScreen (Composable=True) | Content: var editPalSize by remember { mutableStateOf("3") }
Line 2569 | Var: isEditingPalLoading | Function: HomeScreen (Composable=True) | Content: var isEditingPalLoading by remember { mutableStateOf(false) }
Line 2570 | Var: editPalDots | Function: HomeScreen (Composable=True) | Content: var editPalDots by remember { mutableStateOf("") }
Line 2731 | Var: plusMenuBounds | Function: HomeScreen (Composable=True) | Content: var plusMenuBounds by remember { mutableStateOf<Rect?>(null) }
Line 2732 | Var: tripleDotMenuBounds | Function: HomeScreen (Composable=True) | Content: var tripleDotMenuBounds by remember { mutableStateOf<Rect?>(null) }
Line 2733 | Var: joinPalBounds | Function: HomeScreen (Composable=True) | Content: var joinPalBounds by remember { mutableStateOf<Rect?>(null) }
Line 2734 | Var: editNameBounds | Function: HomeScreen (Composable=True) | Content: var editNameBounds by remember { mutableStateOf<Rect?>(null) }
Line 2768 | Var: screenCornerRadius | Function: HomeScreen (Composable=True) | Content: var screenCornerRadius by remember { mutableStateOf(28.dp) }
Line 4648 | Var: activeCamera | Function: CameraPreview (Composable=True) | Content: var activeCamera by remember { mutableStateOf<androidx.camera.core.Camera?>(null) }
Line 4762 | Var: activeSlot | Function: CameraScreenContent (Composable=True) | Content: var activeSlot by remember { mutableStateOf(1) }
Line 4763 | Var: activeTimerMode | Function: CameraScreenContent (Composable=True) | Content: var activeTimerMode by remember { mutableStateOf(TimerMode.DEFAULT) }
Line 4764 | Var: flashMode | Function: CameraScreenContent (Composable=True) | Content: var flashMode by remember { mutableStateOf("off") } // "off", "on", "auto"
Line 4765 | Var: isCameraFlipped | Function: CameraScreenContent (Composable=True) | Content: var isCameraFlipped by remember { mutableStateOf(false) }
Line 4766 | Var: recordingProgress | Function: CameraScreenContent (Composable=True) | Content: var recordingProgress by remember { mutableStateOf(0.0f) }
Line 4767 | Var: countdownSeconds | Function: CameraScreenContent (Composable=True) | Content: var countdownSeconds by remember { mutableStateOf(0) }
Line 4768 | Var: videoCaptureRef | Function: CameraScreenContent (Composable=True) | Content: var videoCaptureRef by remember { mutableStateOf<VideoCapture<Recorder>?>(null) }
Line 4769 | Var: activeRecordingSession | Function: CameraScreenContent (Composable=True) | Content: var activeRecordingSession by remember { mutableStateOf<Recording?>(null) }
Line 4789 | Var: initialTime | Function: CameraScreenContent (Composable=True) | Content: mutableStateOf(String.format("%02d:%02d", initialTime.hour, initialTime.minute))
Line 5953 | Var: isMuted | Function: CapturedPreviewScreen (Composable=True) | Content: var isMuted by remember { mutableStateOf(false) }
Line 5954 | Var: captionText | Function: CapturedPreviewScreen (Composable=True) | Content: var captionText by remember { mutableStateOf("") }
Line 5955 | Var: isPreviewSaving | Function: CapturedPreviewScreen (Composable=True) | Content: var isPreviewSaving by remember { mutableStateOf(false) }
Line 5956 | Var: isPreviewSaved | Function: CapturedPreviewScreen (Composable=True) | Content: var isPreviewSaved by remember { mutableStateOf(false) }
Line 5973 | Var: selectedPals | Function: CapturedPreviewScreen (Composable=True) | Content: var selectedPals by remember { mutableStateOf<Set<String>>(emptySet()) }
Line 6857 | Var: showDropdownMenu | Function: GroupMemberCard (Composable=True) | Content: var showDropdownMenu by remember { mutableStateOf(false) }
Line 6858 | Var: showEmojiOverlay | Function: GroupMemberCard (Composable=True) | Content: var showEmojiOverlay by remember { mutableStateOf(false) }
Line 6860 | Var: currentEmojis | Function: GroupMemberCard (Composable=True) | Content: var currentEmojis by remember { mutableStateOf(defaultEmojis.take(5)) }
Line 7177 | Var: groupPosX | Function: GroupMemberCard (Composable=True) | Content: var groupPosX by remember { mutableStateOf(0f) }
Line 7178 | Var: groupPosY | Function: GroupMemberCard (Composable=True) | Content: var groupPosY by remember { mutableStateOf(0f) }
Line 7179 | Var: groupSmileRotation | Function: GroupMemberCard (Composable=True) | Content: var groupSmileRotation by remember { mutableStateOf(0f) }
Line 7180 | Var: groupSmileColorIndex | Function: GroupMemberCard (Composable=True) | Content: var groupSmileColorIndex by remember { mutableStateOf(0) }
Line 7386 | Var: groupPosX | Function: GroupMemberCard (Composable=True) | Content: var groupPosX by remember { mutableStateOf(0f) }
Line 7387 | Var: groupPosY | Function: GroupMemberCard (Composable=True) | Content: var groupPosY by remember { mutableStateOf(0f) }
Line 7388 | Var: groupSmileRotation | Function: GroupMemberCard (Composable=True) | Content: var groupSmileRotation by remember { mutableStateOf(0f) }
Line 7389 | Var: groupSmileColorIndex | Function: GroupMemberCard (Composable=True) | Content: var groupSmileColorIndex by remember { mutableStateOf(0) }
Line 8091 | Var: N/A | Function: VlogScreenContent (Composable=True) | Content: mutableStateOf(initialList)
Line 8246 | Var: selectedMemberIndex | Function: VlogScreenContent (Composable=True) | Content: var selectedMemberIndex by remember(pal.code) { mutableStateOf(0) }
Line 8297 | Var: selectedPageIndex | Function: VlogScreenContent (Composable=True) | Content: var selectedPageIndex by remember(pal.code) { mutableStateOf(0) }
Line 8298 | Var: inMembersSubMenu | Function: VlogScreenContent (Composable=True) | Content: var inMembersSubMenu by remember { mutableStateOf(false) }
Line 8299 | Var: capsuleLeftDp | Function: VlogScreenContent (Composable=True) | Content: var capsuleLeftDp by remember { mutableStateOf(0.dp) }
Line 8300 | Var: inSettingsSubMenu | Function: VlogScreenContent (Composable=True) | Content: var inSettingsSubMenu by remember { mutableStateOf(false) }
Line 8301 | Var: showArchiveView | Function: VlogScreenContent (Composable=True) | Content: var showArchiveView by remember { mutableStateOf(false) }
Line 8302 | Var: currentMonth | Function: VlogScreenContent (Composable=True) | Content: var currentMonth by remember { mutableStateOf(java.time.YearMonth.now()) }
Line 8303 | Var: showTripleDotMenu | Function: VlogScreenContent (Composable=True) | Content: var showTripleDotMenu by remember { mutableStateOf(false) }
Line 8304 | Var: isEditingCaption | Function: VlogScreenContent (Composable=True) | Content: var isEditingCaption by remember { mutableStateOf(false) }
Line 8305 | Var: showDeleteVlogConfirmation | Function: VlogScreenContent (Composable=True) | Content: var showDeleteVlogConfirmation by remember { mutableStateOf(false) }
Line 8306 | Var: savedVlogPaths | Function: VlogScreenContent (Composable=True) | Content: var savedVlogPaths by remember { mutableStateOf(setOf<String>()) }
Line 8307 | Var: editCaptionText | Function: VlogScreenContent (Composable=True) | Content: var editCaptionText by remember { mutableStateOf(androidx.compose.ui.text.input.TextFieldValue("")) }
Line 8309 | Var: isDropdownSaving | Function: VlogScreenContent (Composable=True) | Content: var isDropdownSaving by remember { mutableStateOf(false) }
Line 8310 | Var: isDropdownSaved | Function: VlogScreenContent (Composable=True) | Content: var isDropdownSaved by remember { mutableStateOf(false) }
Line 8871 | Var: localPosX | Function: VlogScreenContent (Composable=True) | Content: var localPosX by remember { mutableStateOf(0f) }
Line 8872 | Var: localPosY | Function: VlogScreenContent (Composable=True) | Content: var localPosY by remember { mutableStateOf(0f) }
Line 8873 | Var: localSmileRotation | Function: VlogScreenContent (Composable=True) | Content: var localSmileRotation by remember { mutableStateOf(0f) }
Line 8874 | Var: localSmileColorIndex | Function: VlogScreenContent (Composable=True) | Content: var localSmileColorIndex by remember { mutableStateOf(0) }
Line 10147 | Var: isExportSavingVideo | Function: VlogScreenContent (Composable=True) | Content: var isExportSavingVideo by remember { mutableStateOf(false) }
Line 10148 | Var: isExportSharingVideo | Function: VlogScreenContent (Composable=True) | Content: var isExportSharingVideo by remember { mutableStateOf(false) }
Line 10149 | Var: isExportSaved | Function: VlogScreenContent (Composable=True) | Content: var isExportSaved by remember { mutableStateOf(false) }
Line 10152 | Var: showEditExportSheet | Function: VlogScreenContent (Composable=True) | Content: var showEditExportSheet by remember { mutableStateOf(false) }
Line 10153 | Var: exportBackground | Function: VlogScreenContent (Composable=True) | Content: var exportBackground by remember { mutableStateOf("black") }
Line 10154 | Var: exportMissedText | Function: VlogScreenContent (Composable=True) | Content: var exportMissedText by remember { mutableStateOf("💤") }
Line 10155 | Var: showMissedTextDialog | Function: VlogScreenContent (Composable=True) | Content: var showMissedTextDialog by remember { mutableStateOf(false) }
Line 10156 | Var: tempMissedText | Function: VlogScreenContent (Composable=True) | Content: var tempMissedText by remember { mutableStateOf("💤") }
Line 10242 | Var: exportActiveIndex | Function: VlogScreenContent (Composable=True) | Content: var exportActiveIndex by remember { mutableStateOf(0) }
Line 10852 | Var: textVal | Function: VlogScreenContent (Composable=True) | Content: mutableStateOf(
Line 11339 | Var: isCameraGranted | Function: PermissionsScreen (Composable=True) | Content: mutableStateOf(
Line 11347 | Var: isMicrophoneGranted | Function: PermissionsScreen (Composable=True) | Content: mutableStateOf(
Line 11361 | Var: isStorageGranted | Function: PermissionsScreen (Composable=True) | Content: mutableStateOf(
Line 11369 | Var: permissionSubStep | Function: PermissionsScreen (Composable=True) | Content: mutableStateOf(
Line 11577 | Var: bitmap | Function: VideoThumbnail (Composable=True) | Content: var bitmap by remember(videoPath) { mutableStateOf<android.graphics.Bitmap?>(null) }
Line 11643 | Var: resolvedPaths | Function: VideoPlayerItem (Composable=True) | Content: var resolvedPaths by remember(videoPaths) { mutableStateOf<List<String>>(emptyList()) }
Line 11644 | Var: isVideoReady | Function: VideoPlayerItem (Composable=True) | Content: var isVideoReady by remember(resolvedPaths) { mutableStateOf(false) }
Line 11823 | Var: isPlaying | Function: VoiceNotePlayerItem (Composable=True) | Content: var isPlaying by remember { mutableStateOf(false) }
Line 11824 | Var: progress | Function: VoiceNotePlayerItem (Composable=True) | Content: var progress by remember { mutableStateOf(0f) }
Line 11825 | Var: duration | Function: VoiceNotePlayerItem (Composable=True) | Content: var duration by remember { mutableStateOf(1) }
Line 11826 | Var: currentPosition | Function: VoiceNotePlayerItem (Composable=True) | Content: var currentPosition by remember { mutableStateOf(0) }
Line 12070 | Var: replyInput | Function: ReplyPreviewOverlay (Composable=True) | Content: var replyInput by remember { mutableStateOf("") }
Line 12418 | Var: messageInput | Function: PalChatOverlay (Composable=True) | Content: var messageInput by remember { mutableStateOf("") }
Line 12421 | Var: currentEmojis | Function: PalChatOverlay (Composable=True) | Content: var currentEmojis by remember { mutableStateOf(defaultEmojis.take(5)) }
Line 12506 | Var: showEmojiOverlayForPath | Function: PalChatOverlay (Composable=True) | Content: var showEmojiOverlayForPath by remember { mutableStateOf<String?>(null) }
Line 13192 | Var: isFocused | Function: JoinPalDialogOverlay (Composable=True) | Content: var isFocused by remember { mutableStateOf(false) }
Line 13709 | Var: isSaving | Function: CreatePalDialogOverlay (Composable=True) | Content: var isSaving by remember { mutableStateOf(false) }
Line 14583 | Var: currentMonth | Function: VlogArchiveCard (Composable=True) | Content: var currentMonth by remember { mutableStateOf(java.time.YearMonth.now()) }
Line 14863 | Var: groupPosX | Function: VlogEmptyStateContent (Composable=True) | Content: var groupPosX by remember { mutableStateOf(0f) }
Line 14864 | Var: groupPosY | Function: VlogEmptyStateContent (Composable=True) | Content: var groupPosY by remember { mutableStateOf(0f) }
Line 14865 | Var: groupSmileRotation | Function: VlogEmptyStateContent (Composable=True) | Content: var groupSmileRotation by remember { mutableStateOf(0f) }
Line 14866 | Var: groupSmileColorIndex | Function: VlogEmptyStateContent (Composable=True) | Content: var groupSmileColorIndex by remember { mutableStateOf(0) }
